artist_id;artist_name;artist_popularity;followers;genres
"21E3waRsmPlU7jZsS13rcj5gCRApTajqwbnHHPbr2Fpi";;;;
"0fgYKF9Avljex0L9Wt5b8Z";"Echo & the Bunnymen";64;185362;"[""alternative rock"",""art rock"",""britpop"",""dance rock"",""dream pop"",""indie rock"",""madchester"",""neo-psychedelic"",""new romantic"",""new wave"",""new wave pop"",""permanent wave"",""post-punk"",""power pop"",""punk"",""rock"",""synthpop"",""uk post-punk""]"
"0qxiHjDHTVwI9Q1pcU5jxQ";"Lluvia del Bosque";56;543;"[]"
"71RNihAnOuMIGlq9zQiDXx7wqP36o9lqWteOCxBnXlwx";;;;
"4KZmpaIhanIo46eaQimtgO";"ESTA.";48;15465;"[""chillhop"",""deep indie r&b"",""vapor twitch""]"
"6378ENTKNnD1IgKibDbwey2joP5vY0z4R9MQ9ZQOWV4S";;;;
"6waa8mKu91GjzD4NlONlNJ";"The Hollies";67;204681;"[""adult standards"",""album rock"",""art rock"",""blues-rock"",""brill building pop"",""british blues"",""british invasion"",""bubblegum pop"",""christmas"",""classic funk rock"",""classic rock"",""folk"",""folk rock"",""hard rock"",""mellow gold"",""merseybeat"",""motown"",""psychedelic rock"",""rock"",""rock-and-roll"",""rockabilly"",""roots rock"",""singer-songwriter"",""soft rock""]"
"13aBWT8LN4oNWWGFOu96MA";"Clay Aiken";50;14707;"[""idol"",""pop christmas""]"
"3NRFinRTEqUCfaTTZmk8ek";"Savage Garden";69;251995;"[""australian pop"",""boy band"",""dance pop"",""europop"",""pop rock""]"
"4yMxdaUoKCalQPX9BMeeFf3ZGbMG70LcEEo7SBIE3jMH";;;;
"7pcKyVIatvXoHdZRr4Q3vT";"Liz Rose";38;2929;"[]"
"1RyvyyTE3xzB2ZywiAwp0i5pKCCKE2ajJHZ9KAiaK11H";;;;
"521qvhdobR0GzhvU6TFw76";"Tritonal";75;103806;"[""big room"",""deep big room"",""edm"",""electro house"",""progressive electro house"",""progressive house"",""tracestep"",""tropical house""]"
"5Xp83akGUQEQxyp9uvcFAm2OpUrUeIF1sqWHwSbMPNkB";;;;
"5n6UlncXU66a9f9NAEh5GB";"Sean McGaughey";8;3;"[]"
